57384	52	43192	142828	0	0	0	0	4513	34178	53085993699	39
3230	5	46822	231026	1	0	1	0	5330	24878	53086372896	16
1249	328	1209078	456220	2	0	0	0	39979	14274	53086458433	4
11928	8	1209079	456221	3	0	0	0	-1	16649	53086463774	9
51266	89	1209080	126416	4	0	1	0	-1	27090	53086432937	19
23006	-1	1209081	122067	5	1	0	0	3639	14908	53086163309	10
12637	265	269351	6757	6	0	1	0	-1	27794	53086427987	4
42686	140	1209082	178779	7	0	0	0	7	17817	53085001012	10
1775	28	1209083	1616	8	0	1	0	14463	30899	53086441559	10
57385	-1	1209084	20448	9	1	0	0	3735	43941	53085729143	14
10987	115	65804	43245	10	0	1	0	7	17481	53085562259	21
17534	123	1209085	456222	11	0	0	0	-1	34312	53086389136	10
17538	110	554984	3889	12	0	0	0	-1	1083	53086422910	9
12624	248	183163	1605	3	0	0	0	-1	18695	53086200164	9
53305	91	471042	47416	13	0	0	0	-1	32001	53085240163	10
7362	12	92647	49301	14	0	0	0	-1	17934	53086324562	10
42395	31	1209086	73570	15	0	0	0	6725	43942	53086348708	20
12676	57	18585	61824	1	0	1	0	59	6733	53085889369	9
10993	-1	1209087	7706	-1	1	0	0	-1	1855	53081848642	10
37914	99	463540	25534	17	0	0	0	53	9558	53084303614	8
57386	-1	1209088	192544	18	1	0	0	-1	30858	53085582397	20
6703	120	1209089	68745	19	0	1	0	-1	800	53086351637	10
53651	78	224493	127164	20	0	0	0	2464	39844	53086369016	10
34052	139	22741	12255	21	0	1	0	-1	43943	53086443915	12
23289	220	1209090	65069	7	0	0	0	-1	41484	53086464402	10
17656	134	1209091	125019	22	0	0	0	2961	9287	53086424272	10
49903	62	1209092	12644	23	0	0	0	1283	23498	53085991885	10
314	97	1209093	15537	24	0	1	0	-1	2580	53086289816	9
7377	-1	351162	56018	25	1	0	0	685	24475	53083717645	2
932	91	556678	23862	26	0	1	0	-1	8686	53085672533	9
19570	99	87257	119609	27	0	0	0	-1	10614	53086436868	20
42404	68	1209094	166190	28	0	1	0	-1	43944	53084369705	10
27297	340	126001	8463	29	0	0	0	12	43945	53085685201	21
16386	61	1209095	456223	30	0	0	0	-1	27835	53086333119	10
30459	189	66964	65695	31	0	0	0	86	43946	53085224195	11
21872	67	169542	9925	32	0	0	0	380	11858	53085053660	20
6585	-1	1209096	431421	33	1	0	0	930	23036	53086255763	10
8308	13	100302	48578	34	0	0	0	-1	43947	53086092845	9
5490	-1	1209097	21585	35	2	0	0	-1	1812	53086457907	19
31894	-1	1209098	62430	20	1	0	0	25	43948	53085956762	19
9308	177	910755	45495	32	0	0	0	992	7861	53085650077	9
18284	31	1209099	37899	36	0	0	0	40022	15893	53086436543	19
12533	148	1209100	504	37	0	1	0	597	32620	53086424288	30
43738	99	1209101	228209	4	0	1	0	-1	598	53086083418	10
20495	28	1209102	37442	6	0	0	0	762	7431	53086356318	19
32444	-1	1209103	57514	38	1	0	0	-1	32160	53073121156	9
14887	70	387521	10504	33	0	0	0	-1	14217	53086459719	10
13907	18	1209104	89836	7	0	0	0	-1	12892	53086465351	9
1978	21	1209105	56257	7	3	0	0	-1	32762	53085674405	10
11074	99	87164	62916	23	0	0	0	10666	7998	53084717098	10
16936	189	1209106	456224	39	0	0	0	2510	42756	53086430941	10
29595	-1	962888	22423	40	1	0	0	-1	43949	53083871230	9
31471	-1	1209107	456225	-1	1	0	0	-1	43950	53077777264	20
31257	2	1209108	81329	41	0	1	0	-1	19186	53085397650	35
57387	299	28992	23643	42	0	0	0	815	43951	53086266457	3
48809	120	550538	104855	43	0	0	0	1557	20301	53085916634	9
51750	154	224	4092	44	0	0	0	530	28234	53085818229	21
57388	3	6736	17438	31	0	1	0	512	33024	53086359747	26
8824	-1	1209109	97089	45	1	0	0	-1	1281	53086211445	42
31664	175	230545	9176	42	0	0	0	-1	7911	53086455569	10
30886	164	1209110	369482	46	3	0	0	-1	40077	53086438047	19
24495	6	1209111	107478	47	0	1	0	-1	3387	53086000562	7
57389	151	4273	14567	48	0	0	0	58	43952	53086425175	9
48604	91	1209112	215101	14	0	1	0	-1	19621	53086367379	6
45711	-1	1209113	5699	0	1	0	0	25120	9166	53084022649	19
45715	-1	1209114	365903	49	1	0	0	-1	9180	53083976724	39
13111	26	1209115	11460	20	0	1	0	21395	18976	53084174668	10
50505	195	1209116	289843	9	0	0	0	-1	25149	53085409502	19
11218	159	860980	1799	11	0	0	0	-1	31264	53086434757	21
